slug,type,title_len,desc_len,h1_count,h2_count,word_count,size_kb,has_schema,issue_count,issues
"porta-potty-rental-abilene-tx",city,57,153,1,16,5757,118.8,True,0,""
"porta-potty-rental-akron-oh",city,53,159,1,10,4274,72.6,True,0,""
"porta-potty-rental-alabama",city,57,158,1,5,1199,30.7,True,0,""
"porta-potty-rental-albany-ny",city,57,157,1,10,4321,73.1,True,0,""
"porta-potty-rental-albuquerque-nm",city,57,159,1,10,4373,76.2,True,0,""
"porta-potty-rental-allegheny-county-pa",city,61,158,1,7,2808,44.2,True,0,""
"porta-potty-rental-allen-tx",city,55,151,1,15,5597,113.8,True,0,""
"porta-potty-rental-amarillo-tx",city,58,154,1,17,5777,124.6,True,0,""
"porta-potty-rental-anaheim-ca",city,64,147,1,13,5333,99.4,True,0,""
"porta-potty-rental-anchorage-ak",city,59,157,1,10,4393,74.9,True,0,""
"porta-potty-rental-ann-arbor-mi",city,59,149,1,15,5897,120.7,True,0,""
"porta-potty-rental-arizona",city,57,158,1,6,1958,40.5,True,0,""
"porta-potty-rental-arkansas",city,58,159,1,5,1153,28.4,True,0,""
"porta-potty-rental-arlington-tx",city,58,155,1,15,5498,113.2,True,0,""
"porta-potty-rental-arvada-co",city,56,152,1,14,5341,102.8,True,0,""
"porta-potty-rental-athens-ga",city,65,151,1,13,5260,108.7,True,0,""
"porta-potty-rental-atlanta-ga",city,56,153,1,13,5284,108.9,True,0,""
"porta-potty-rental-auburn-ca",city,65,154,1,14,5724,103.7,True,0,""
"porta-potty-rental-augusta-ga",city,62,154,1,13,5428,109.4,True,0,""
"porta-potty-rental-aurora-co",city,58,155,1,13,5159,100.1,True,0,""
"porta-potty-rental-austin-tx",city,55,152,1,15,6071,113.8,True,0,""
"porta-potty-rental-babylon-town-ny",city,62,145,1,13,5428,116.1,True,0,""
"porta-potty-rental-bakersfield-ca",city,60,157,1,14,5562,104.9,True,0,""
"porta-potty-rental-baltimore-county-md",city,61,150,1,7,2778,44.3,True,0,""
"porta-potty-rental-baltimore-md",city,58,155,1,14,5287,112.1,True,0,""
"porta-potty-rental-baton-rouge-la",city,65,146,1,13,5834,111.2,True,0,""
"porta-potty-rental-beaumont-tx",city,58,154,1,15,5591,118.8,True,0,""
"porta-potty-rental-bellevue-wa",city,58,154,1,13,5122,98.3,True,0,""
"porta-potty-rental-bexar-county-tx",city,57,156,1,7,2854,44.5,True,0,""
"porta-potty-rental-billings-mt",city,55,160,1,10,4297,72.9,True,0,""
"porta-potty-rental-biloxi-ms",city,53,151,1,10,4247,72.2,True,0,""
"porta-potty-rental-birmingham-al",city,60,150,1,13,5148,100.6,True,0,""
"porta-potty-rental-bismarck-nd",city,65,156,1,10,4343,72.9,True,0,""
"porta-potty-rental-blaine-mn",city,56,152,1,13,5331,104.2,True,0,""
"porta-potty-rental-bloomington-ca",city,61,151,1,13,5259,107.4,True,0,""
"porta-potty-rental-boise-id",city,55,151,1,14,5718,116.2,True,0,""
"porta-potty-rental-boston-ma",city,55,152,1,15,5395,110.2,True,0,""
"porta-potty-rental-boulder-co",city,61,153,1,13,5409,109.2,True,0,""
"porta-potty-rental-bowling-green-ky",city,59,153,1,13,5562,110.5,True,0,""
"porta-potty-rental-bozeman-mt",city,59,157,1,10,4298,72.6,True,0,""
"porta-potty-rental-brea-ca",city,57,153,1,12,5102,96.9,True,0,""
"porta-potty-rental-bridgeport-ct",city,60,150,1,16,5743,121.6,True,0,""
"porta-potty-rental-brookhaven-ny",city,60,150,1,13,5314,116.0,True,0,""
"porta-potty-rental-brooklyn-park-mn",city,64,150,1,13,5762,111.8,True,0,""
"porta-potty-rental-broward-county-fl",city,59,160,1,7,2805,45.8,True,0,""
"porta-potty-rental-brownsville-tx",city,61,151,1,15,5620,116.4,True,0,""
"porta-potty-rental-buena-park-ca",city,63,153,1,12,5294,98.3,True,0,""
"porta-potty-rental-buffalo-ny",city,57,153,1,13,5405,115.7,True,0,""
"porta-potty-rental-burlington-vt",city,57,157,1,10,4347,74.6,True,0,""
"porta-potty-rental-california",city,61,150,1,4,1298,37.8,True,0,""
"porta-potty-rental-cambridge-ma",city,59,149,1,13,5105,101.5,True,0,""
"porta-potty-rental-cape-coral-fl",city,60,152,1,16,5330,106.9,True,0,""
"porta-potty-rental-carrollton-tx",city,60,150,1,16,5735,119.5,True,0,""
"porta-potty-rental-casper-wy",city,51,155,1,10,4343,71.8,True,0,""
"porta-potty-rental-centennial-co",city,58,152,1,13,5432,110.6,True,0,""
"porta-potty-rental-chandler-az",city,58,154,1,16,5534,115.9,True,0,""
"porta-potty-rental-charleston-sc",city,56,147,1,10,4304,74.2,True,0,""
"porta-potty-rental-charleston-wv",city,63,156,1,10,4339,73.2,True,0,""
"porta-potty-rental-charlotte-nc",city,58,155,1,13,5485,110.4,True,0,""
"porta-potty-rental-chattanooga-tn",city,61,151,1,16,5514,117.0,True,0,""
"porta-potty-rental-chesapeake-va",city,59,148,1,10,4297,74.0,True,0,""
"porta-potty-rental-cheyenne-wy",city,58,160,1,10,4440,73.3,True,0,""
"porta-potty-rental-chicago-il",city,64,150,1,14,5337,111.5,True,0,""
"porta-potty-rental-chula-vista-ca",city,61,154,1,14,5930,104.7,True,0,""
"porta-potty-rental-cincinnati-oh",city,57,160,1,10,4316,73.5,True,0,""
"porta-potty-rental-clark-county-nv",city,57,157,1,6,2904,45.7,True,0,""
"porta-potty-rental-clarksville-tn",city,61,151,1,15,5541,120.0,True,0,""
"porta-potty-rental-clearwater-fl",city,58,152,1,16,5060,107.4,True,0,""
"porta-potty-rental-cleveland-oh",city,57,157,1,10,4388,73.8,True,0,""
"porta-potty-rental-college-station-tx",city,65,150,1,15,5739,117.6,True,0,""
"porta-potty-rental-colorado",city,59,160,1,6,1985,41.0,True,0,""
"porta-potty-rental-colorado-springs-co",city,53,152,1,14,5409,103.0,True,0,""
"porta-potty-rental-columbia-mo",city,58,152,1,10,4436,74.0,True,0,""
"porta-potty-rental-columbia-sc",city,58,154,1,14,5320,108.2,True,0,""
"porta-potty-rental-columbus-oh",city,58,154,1,14,5507,108.8,True,0,""
"porta-potty-rental-connecticut",city,61,150,1,5,1179,29.9,True,0,""
"porta-potty-rental-conroe-tx",city,62,157,1,10,4352,73.3,True,0,""
"porta-potty-rental-cook-county-il",city,65,158,1,7,2847,45.3,True,0,""
"porta-potty-rental-coral-springs-fl",city,63,153,1,15,5862,119.7,True,0,""
"porta-potty-rental-corpus-christi-tx",city,63,160,1,15,5787,120.3,True,0,""
"porta-potty-rental-cuyahoga-county-oh",city,60,158,1,7,2785,43.9,True,0,""
"porta-potty-rental-dallas-county-tx",city,58,157,1,7,2810,47.0,True,0,""
"porta-potty-rental-dallas-fort-worth-tx",city,59,152,1,13,5194,101.3,True,0,""
"porta-potty-rental-dallas-tx",city,55,152,1,14,5571,117.9,True,0,""
"porta-potty-rental-davidson-county-tn",city,60,150,1,7,2861,45.1,True,0,""
"porta-potty-rental-dayton-oh",city,51,157,1,10,4425,74.7,True,0,""
